State,City,,Population1,"Violent
crime",Murder,"Rape
 (revised
definition)2","Rape
 (legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson4,
ALABAMA,BIRMINGHAM5,2013,"212,001","1,378",38,79,,479,782,"6,576","1,917","3,983",676,,
,,2014,,,19,84,,453,,"6,599","1,713","4,168",718,,
,HUNTSVILLE,2013,"184,738",763,12,41,,208,502,"4,336",914,"3,121",301,,
,,2014,,778,12,50,,193,523,"4,379",908,"3,110",361,,
,MOBILE6,2013,"250,557",716,11,40,,196,469,"5,841","1,454","4,089",298,,
,,2014,,745,18,66,,202,459,"5,785","1,458","4,036",291,,
,MONTGOMERY7,2013,"205,087",,,,,,,,,,,,
,,2014,,467,14,21,,184,248,"4,023","1,089","2,644",290,,
ALASKA,ANCHORAGE,2013,"299,455","1,200",9,199,,240,752,"5,571",591,"4,583",397,33,
,,2014,,"1,209",6,193,,247,763,"5,515",629,"4,474",412,33,
ARIZONA,GILBERT,2013,"225,232",103,1,6,,23,73,"1,636",311,"1,257",68,15,
,,2014,,109,0,8,,32,69,"1,623",229,"1,331",63,10,
CALIFORNIA,ANAHEIM,2013,"345,320",581,7,,40,224,310,"5,001",795,"3,417",789,16,
,,2014,,537,5,,37,203,292,"4,206",619,"2,915",672,9,
,ANTIOCH8,2013,"106,447",497,7,,6,177,307,"2,071",721,892,458,30,
,,2014,,,3,,,148,238,"2,131",701,921,509,23,
,BAKERSFIELD,2013,"361,859",934,13,,27,335,559,"8,327","2,191","4,741","1,395",77,
,,2014,,861,7,,8,334,512,"7,609","2,147","4,354","1,108",203,
,BERKELEY,2013,"116,217",300,1,,17,222,60,"2,626",475,"1,859",292,8,
,,2014,,173,1,14,,108,50,"2,391",406,"1,684",301,5,
,BURBANK,2013,"104,727",96,0,,10,31,55,"1,180",158,912,110,4,
,,2014,,70,1,,4,27,38,"1,264",161,"1,011",92,9,
,CARLSBAD,2013,"110,505",105,0,,10,23,72,"1,064",279,723,62,8,
,,2014,,101,1,,8,22,70,894,188,655,51,2,
,CHULA VISTA,2013,"255,073",298,2,,19,124,153,"2,668",495,"1,786",387,28,
,,2014,,292,3,,20,107,162,"2,350",313,"1,605",432,21,
,CONCORD,2013,"125,464",214,1,,5,80,128,"1,977",421,"1,279",277,5,
,,2014,,217,1,12,,78,126,"2,469",442,"1,575",452,2,
,CORONA ,2013,"160,159",91,6,,5,36,44,"1,636",301,"1,103",232,4,
,,2014,,90,0,,13,34,43,"1,732",270,"1,209",253,10,
,COSTA MESA ,2013,"112,538",114,0,,20,44,50,"1,715",238,"1,323",154,6,
,,2014,,127,0,,15,38,74,"1,675",273,"1,235",167,12,
,DALY CITY,2013,"104,536",105,0,,6,49,50,904,174,562,168,16,
,,2014,,100,2,12,,39,47,817,163,519,135,6,
,DOWNEY,2013,"113,222",173,5,,6,89,73,"1,671",302,949,420,1,
,,2014,,146,2,,9,62,73,"1,439",240,831,368,9,
,EL CAJON,2013,"102,012",162,1,,8,75,78,"1,441",243,968,230,7,
,,2014,,188,2,,11,83,92,"1,038",203,667,168,4,
,ELK GROVE,2013,"160,925",243,0,,6,45,192,"1,438",275,"1,079",84,7,
,,2014,,309,0,9,,57,243,"1,421",287,"1,049",85,3,
,EL MONTE,2013,"115,591",168,1,,6,75,86,"1,043",281,511,251,4,
,,2014,,174,1,,7,81,85,"1,063",231,566,266,1,
,ESCONDIDO ,2013,"148,650",268,3,,14,94,157,"1,703",310,"1,041",352,4,
,,2014,,245,0,,11,69,165,"1,628",260,"1,063",305,10,
,FAIRFIELD,2013,"108,425",282,3,,7,93,179,"1,553",401,972,180,10,
,,2014,,269,4,,13,104,148,"1,844",314,"1,206",324,7,
,FONTANA ,2013,"203,427",365,3,,13,116,233,"2,190",502,"1,238",450,6,
,,2014,,366,2,,8,100,256,"1,823",321,"1,075",427,4,
,FREMONT ,2013,"224,475",155,1,,12,80,62,"1,969",516,"1,135",318,8,
,,2014,,115,1,,7,51,56,"2,093",401,"1,389",303,9,
,FRESNO,2013,"508,876","1,317",21,,23,470,803,"11,295","2,711","6,605","1,979",100,
,,2014,,"1,154",25,,30,366,733,"10,517","2,279","6,701","1,537",116,
,FULLERTON,2013,"139,676",194,0,,16,51,127,"1,941",343,"1,450",148,12,
,,2014,,163,0,,14,57,92,"1,638",276,"1,194",168,16,
,GARDEN GROVE,2013,"175,469",229,2,,8,71,148,"1,685",336,"1,109",240,15,
,,2014,,211,3,,7,64,137,"1,540",312,979,249,16,
,GLENDALE,2013,"195,366",90,0,,4,31,55,"1,537",266,"1,136",135,2,
,,2014,,86,0,,4,31,51,"1,571",257,"1,173",141,11,
,HAYWARD,2013,"150,955",295,2,,15,171,107,"2,480",544,"1,039",897,6,
,,2014,,289,5,20,,152,112,"2,372",474,"1,237",661,22,
,HUNTINGTON BEACH,2013,"195,842",184,0,,14,49,121,"2,379",382,"1,830",167,11,
,,2014,,192,1,27,,51,113,"2,120",298,"1,675",147,7,
,INGLEWOOD,2013,"111,672",372,3,,17,159,193,"1,352",337,735,280,15,
,,2014,,357,14,,14,162,167,"1,356",279,731,346,12,
,IRVINE,2013,"235,830",55,2,,6,16,31,"1,738",306,"1,347",85,8,
,,2014,,46,0,,4,17,25,"1,499",268,"1,169",62,4,
,LANCASTER,2013,"159,792",403,6,,23,108,266,"1,705",500,"1,032",173,20,
,,2014,,459,3,,26,109,321,"1,659",503,966,190,22,
,LONG BEACH ,2013,"469,665","1,177",21,,54,588,514,"6,537","1,963","3,378","1,196",45,
,,2014,,"1,094",12,,60,429,593,"6,123","1,785","3,203","1,135",44,
,LOS ANGELES,2013,"3,878,725","8,117",134,,378,"3,825","3,780","41,993","7,900","27,080","7,013",746,
,,2014,,"8,675",131,504,,"3,625","4,415","39,916","6,886","26,512","6,518",677,
,MODESTO ,2013,"204,252",841,6,,43,211,581,"4,880","1,120","3,173",587,31,
,,2014,,870,8,,31,204,627,"4,663","1,009","3,066",588,29,
,MORENO VALLEY,2013,"201,284",336,4,,18,170,144,"3,022",965,"1,627",430,3,
,,2014,,248,1,,9,116,122,"3,124",863,"1,789",472,7,
,MURRIETA,2013,"107,768",23,0,,2,9,12,828,152,565,111,3,
, ,2014,,46,0,,14,10,22,735,140,488,107,6,
,NORWALK ,2013,"106,518",212,3,,12,73,124,"1,177",248,665,264,5,
,,2014,,171,5,,8,64,94,996,195,588,213,7,
,OAKLAND,2013,"403,887","4,104",45,,89,"2,541","1,429","12,258","2,616","6,298","3,344",71,
,,2014,,"3,260",39,,105,"1,633","1,483","11,778","2,003","6,564","3,211",84,
