State,City,,Population1,"Violent 
crime",Murder,Rape2,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
,,2019,,734 ,7 ,69 ,160 ,498 ,"4,233 ",549 ,"3,307 ",377 ,10 
,TALLAHASSEE,2018,"192,443 ",674 ,5 ,112 ,133 ,424 ,"4,285 ",655 ,"3,268 ",362 ,4 
,,2019,,613 ,10 ,89 ,105 ,409 ,"3,819 ",545 ,"2,938 ",336 ,4 
,TAMPA,2018,"392,945 ",786 ,10 ,39 ,153 ,584 ,"3,135 ",534 ,"2,372 ",229 ,16 
,,2019,,799 ,14 ,57 ,132 ,596 ,"3,287 ",494 ,"2,520 ",273 ,20 
,WEST PALM BEACH,2018,"111,659 ",538 ,16 ,46 ,183 ,293 ,"2,146 ",333 ,"1,614 ",199 ,9 
,,2019,,430 ,10 ,34 ,172 ,214 ,"2,070 ",215 ,"1,625 ",230 ,9 
GEORGIA,ATLANTA,2018,"496,106 ","1,947 ",42 ,128 ,557 ,"1,220 ","10,892 ","1,475 ","7,837 ","1,580 ",47 
,,2019,,"2,004 ",47 ,116 ,520 ,"1,321 ","10,340 ","1,420 ","7,393 ","1,527 ",37 
,SANDY SPRINGS,2018,"108,654 ",61 ,2 ,6 ,23 ,30 ,997 ,165 ,753 ,79 ,1 
,,2019,,72 ,0 ,5 ,17 ,50 ,925 ,141 ,717 ,67 ,1 
,SAVANNAH-CHATHAM METROPOLITAN,2018,"242,265 ",459 ,12 ,55 ,122 ,270 ,"2,872 ",449 ,"2,076 ",347 ,5 
,,2019,,576 ,13 ,48 ,121 ,394 ,"2,741 ",392 ,"2,091 ",258 ,9 
HAWAII,HONOLULU,2018,"982,019 ","1,253 ",10 ,201 ,414 ,628 ,"14,522 ","1,672 ","10,520 ","2,330 ",147 
,,2019,,"1,298 ",11 ,182 ,462 ,643 ,"14,239 ","2,108 ","10,352 ","1,779 ",122 
IDAHO,BOISE,2018,"229,265 ",315 ,1 ,97 ,19 ,198 ,"2,256 ",265 ,"1,867 ",124 ,17 
,,2019,,293 ,1 ,72 ,15 ,205 ,"1,324 ",165 ,"1,062 ",97 ,8 
,MERIDIAN,2018,"103,774 ",90 ,0 ,25 ,9 ,56 ,571 ,70 ,480 ,21 ,8 
,,2019,,73 ,4 ,16 ,4 ,49 ,558 ,78 ,457 ,23 ,2 
ILLINOIS,AURORA,2018,"201,364 ",267 ,2 ,33 ,47 ,185 ,"1,102 ",132 ,904 ,66 ,4 
,,2019,,219 ,9 ,24 ,42 ,144 ,882 ,89 ,730 ,63 ,9 
,CHICAGO,2018,"2,719,151 ","13,044 ",257 ,886 ,"4,626 ","7,275 ","40,360 ","5,445 ","30,094 ","4,821 ",192 
,,2019,,"12,136 ",239 ,866 ,"3,657 ","7,374 ","37,550 ","4,396 ","28,739 ","4,415 ",189 
,ELGIN,2018,"113,060 ",118 ,2 ,21 ,28 ,67 ,708 ,80 ,589 ,39 ,2 
,,2019,,84 ,0 ,14 ,33 ,37 ,606 ,79 ,491 ,36 ,1 
,JOLIET,2018,"148,553 ",233 ,3 ,20 ,64 ,146 ,"1,036 ",232 ,745 ,59 ,27 
,,2019,,353 ,11 ,25 ,43 ,274 ,"1,028 ",116 ,840 ,72 ,25 
,NAPERVILLE5,2018,"148,457 ",71 ,1 ,13 ,11 ,46 ,,84 ,,28 ,0 
,,2019,,67 ,1 ,9 ,7 ,50 ,,67 ,,21 ,0 
,PEORIA,2018,"112,595 ",418 ,10 ,33 ,79 ,296 ,"2,187 ",462 ,"1,515 ",210 ,28 
,,2019,,496 ,12 ,36 ,106 ,342 ,"1,770 ",355 ,"1,256 ",159 ,17 
,ROCKFORD,2018,"146,198 ",983 ,11 ,66 ,151 ,755 ,"2,611 ",611 ,"1,787 ",213 ,33 
,,2019,,803 ,9 ,55 ,115 ,624 ,"2,247 ",449 ,"1,628 ",170 ,20 
,SPRINGFIELD,2018,"114,623 ",451 ,8 ,35 ,86 ,322 ,"2,556 ",596 ,"1,871 ",89 ,12 
,,2019,,420 ,7 ,58 ,90 ,265 ,"2,401 ",515 ,"1,729 ",157 ,12 
INDIANA,EVANSVILLE,2018,"118,765 ",324 ,7 ,41 ,78 ,198 ,"2,591 ",374 ,"1,972 ",245 ,14 
,,2019,,351 ,7 ,45 ,74 ,225 ,"2,273 ",276 ,"1,811 ",186 ,17 
,FORT WAYNE,2018,"267,634 ",509 ,23 ,71 ,149 ,266 ,"3,342 ",488 ,"2,585 ",269 ,17 
,,2019,,506 ,12 ,79 ,178 ,237 ,"3,404 ",447 ,"2,699 ",258 ,20 
,SOUTH BEND,2018,"102,397 ",465 ,5 ,34 ,139 ,287 ,"1,844 ",422 ,"1,265 ",157 ,17 
,,2019,,598 ,8 ,26 ,127 ,437 ,"1,983 ",351 ,"1,371 ",261 ,23 
KANSAS,WICHITA,2018,"391,726 ","2,361 ",24 ,201 ,274 ,"1,862 ","10,710 ","1,673 ","7,649 ","1,388 ",77 
,,2019,,"2,035 ",13 ,177 ,203 ,"1,642 ","9,502 ","1,299 ","7,111 ","1,092 ",59 
KENTUCKY,LEXINGTON,2018,"325,579 ",504 ,17 ,118 ,229 ,140 ,"5,199 ",748 ,"3,926 ",525 ,23 
,,2019,,395 ,10 ,79 ,156 ,150 ,"4,547 ",724 ,"3,383 ",440 ,26 
LOUISIANA,BATON ROUGE,2018,"224,790 ","1,025 ",44 ,46 ,335 ,600 ,"5,982 ","1,438 ","4,031 ",513 ,85 
,,2019,,"1,094 ",28 ,24 ,316 ,726 ,"5,420 ","1,006 ","4,059 ",355 ,53 
,LAFAYETTE,2018,"127,592 ",359 ,3 ,14 ,87 ,255 ,"2,941 ",512 ,"2,251 ",178 ,10 
,,2019,,330 ,9 ,7 ,63 ,251 ,"2,769 ",527 ,"2,077 ",165 ,15 
,NEW ORLEANS5,2018,"396,374 ","2,244 ",90 ,338 ,612 ,"1,204 ","8,287 ",956 ,"5,928 ","1,403 ",
,,2019,,"2,325 ",58 ,359 ,502 ,"1,406 ","10,548 ","1,017 ","8,055 ","1,476 ",
,SHREVEPORT,2018,"190,808 ",805 ,17 ,68 ,168 ,552 ,"4,909 ",924 ,"3,556 ",429 ,44 
,,2019,,728 ,15 ,70 ,142 ,501 ,"4,282 ",787 ,"3,208 ",287 ,30 
MARYLAND,BALTIMORE5,2018,"605,436 ","5,143 ",133 ,188 ,"2,318 ","2,504 ","12,341 ","2,829 ","7,493 ","2,019 ",81 
,,2019,,"5,252 ",158 ,175 ,"2,217 ","2,702 ","12,402 ","2,638 ","7,841 ","1,923 ",
MASSACHUSETTS,BOSTON,2018,"694,673 ","2,129 ",26 ,133 ,601 ,"1,369 ","6,504 ",942 ,"5,031 ",531 ,
,,2019,,"1,937 ",22 ,113 ,440 ,"1,362 ","6,103 ",763 ,"4,843 ",497 ,
,CAMBRIDGE,2018,"114,881 ",151 ,0 ,11 ,44 ,96 ,907 ,123 ,750 ,34 ,6 
,,2019,,157 ,1 ,7 ,21 ,128 ,943 ,70 ,822 ,51 ,3 
,LOWELL,2018,"111,989 ",157 ,3 ,8 ,48 ,98 ,812 ,191 ,536 ,85 ,8 
,,2019,,204 ,2 ,10 ,40 ,152 ,747 ,145 ,508 ,94 ,9 
,SPRINGFIELD,2018,"155,179 ",762 ,10 ,54 ,237 ,461 ,"1,890 ",445 ,"1,232 ",213 ,12 
,,2019,,628 ,7 ,35 ,158 ,428 ,"1,817 ",323 ,"1,291 ",203 ,20 
,WORCESTER,2018,"186,188 ",645 ,1 ,31 ,151 ,462 ,"1,964 ",420 ,"1,387 ",157 ,6 
,,2019,,544 ,3 ,19 ,104 ,418 ,"1,800 ",400 ,"1,251 ",149 ,0 
MICHIGAN,ANN ARBOR,2018,"122,571 ",132 ,2 ,32 ,17 ,81 ,858 ,104 ,729 ,25 ,3 
,,2019,,153 ,2 ,41 ,23 ,87 ,"1,008 ",71 ,895 ,42 ,2 
,CLINTON TOWNSHIP,2018,"101,279 ",157 ,1 ,32 ,8 ,116 ,685 ,75 ,523 ,87 ,7 
,,2019,,123 ,0 ,17 ,11 ,95 ,596 ,59 ,473 ,64 ,4 
,DETROIT,2018,"671,275 ","6,290 ",127 ,494 ,"1,116 ","4,553 ","13,786 ","3,421 ","7,193 ","3,172 ",424 
,,2019,,"5,956 ",116 ,449 ,990 ,"4,401 ","12,786 ","3,123 ","6,693 ","2,970 ",374 
,LANSING,2018,"117,380 ",658 ,2 ,73 ,86 ,497 ,"1,613 ",385 ,"1,059 ",169 ,15 
,,2019,,642 ,3 ,63 ,75 ,501 ,"1,482 ",314 ,"1,002 ",166 ,11 
,STERLING HEIGHTS,2018,"133,055 ",127 ,1 ,21 ,8 ,97 ,668 ,68 ,547 ,53 ,1 
,,2019,,68 ,0 ,13 ,7 ,48 ,599 ,57 ,484 ,58 ,6 
,WARREN,2018,"135,160 ",336 ,0 ,66 ,58 ,212 ,"1,377 ",285 ,798 ,294 ,4 
,,2019,,340 ,1 ,39 ,42 ,258 ,"1,147 ",266 ,696 ,185 ,10 
MINNESOTA,MINNEAPOLIS6,2018,"428,261 ","1,733 ",14 ,237 ,575 ,907 ,"7,684 ","1,312 ","5,317 ","1,055 ",38 
,,2019,,"1,697 ",14 ,224 ,512 ,947 ,"8,557 ","1,390 ","5,871 ","1,296 ",34 
,ROCHESTER6,2018,"117,037 ",125 ,4 ,39 ,19 ,63 ,"1,048 ",139 ,857 ,52 ,1 
,,2019,,100 ,0 ,26 ,17 ,57 ,"1,033 ",136 ,839 ,58 ,1 
,ST. PAUL,2018,"309,756 ",907 ,4 ,139 ,258 ,506 ,"4,685 ",813 ,"2,620 ","1,252 ",55 
,,2019,,783 ,11 ,105 ,243 ,424 ,"5,153 ",960 ,"3,017 ","1,176 ",46 
MISSISSIPPI,JACKSON7,2018,"166,024 ",,46 ,,202 ,284 ,"3,825 ",955 ,"2,361 ",509 ,30 
,,2019,,,48 ,,203 ,338 ,"3,456 ",815 ,"2,211 ",430 ,42 
MISSOURI,COLUMBIA,2018,"123,586 ",179 ,3 ,45 ,38 ,93 ,"1,556 ",204 ,"1,216 ",136 ,4 
,,2019,,188 ,6 ,33 ,37 ,112 ,"1,512 ",224 ,"1,130 ",158 ,
,INDEPENDENCE6,2018,"117,368 ",248 ,9 ,27 ,50 ,162 ,"3,087 ",384 ,"2,063 ",640 ,8 
,,2019,,339 ,0 ,53 ,52 ,234 ,"2,543 ",257 ,"1,778 ",508 ,8 
,SPRINGFIELD,2018,"168,537 ","1,013 ",4 ,162 ,136 ,711 ,"5,539 ",905 ,"3,950 ",684 ,26 
,,2019,,"1,316 ",7 ,191 ,149 ,969 ,"5,798 ",937 ,"4,120 ",741 ,
,ST. LOUIS,2018,"306,875 ","2,724 ",85 ,151 ,652 ,"1,836 ","8,476 ","1,282 ","6,001 ","1,193 ",89 
,,2019,,"2,750 ",92 ,115 ,680 ,"1,863 ","8,224 ","1,382 ","5,454 ","1,388 ",90 
MONTANA,BILLINGS,2018,"110,397 ",273 ,1 ,29 ,53 ,190 ,"2,685 ",334 ,"1,962 ",389 ,9 
,,2019,,359 ,6 ,36 ,46 ,271 ,"2,248 ",274 ,"1,663 ",311 ,5 
NEBRASKA,LINCOLN,2018,"288,589 ",510 ,2 ,142 ,67 ,299 ,"3,884 ",589 ,"3,118 ",177 ,19 
,,2019,,509 ,2 ,156 ,73 ,278 ,"3,805 ",474 ,"3,091 ",240 ,
,OMAHA,2018,"469,351 ","1,259 ",14 ,215 ,187 ,843 ,"7,312 ",824 ,"5,125 ","1,363 ",
,,2019,,"1,378 ",9 ,199 ,233 ,937 ,"8,138 ",730 ,"5,794 ","1,614 ",
NEVADA,HENDERSON,2018,"309,586 ",267 ,4 ,34 ,93 ,136 ,"3,063 ",543 ,"2,155 ",365 ,9 
,,2019,,238 ,6 ,36 ,79 ,117 ,"2,862 ",447 ,"2,121 ",294 ,8 
,LAS VEGAS METROPOLITAN POLICE DEPARTMENT,2018,"1,644,390 ","5,129 ",68 ,766 ,"1,367 ","2,928 ","23,599 ","6,152 ","13,414 ","4,033 ",51 
,,2019,,"4,397 ",40 ,713 ,"1,094 ","2,550 ","22,677 ","5,289 ","13,746 ","3,642 ",64 
,NORTH LAS VEGAS,2018,"246,951 ","1,148 ",13 ,74 ,202 ,859 ,"2,774 ",693 ,"1,467 ",614 ,7 
,,2019,,"1,312 ",9 ,72 ,214 ,"1,017 ","2,319 ",641 ,"1,207 ",471 ,9 
,RENO,2018,"252,341 ",759 ,2 ,89 ,140 ,528 ,"3,088 ",484 ,"2,082 ",522 ,6 
,,2019,,739 ,6 ,76 ,149 ,508 ,"2,836 ",398 ,"1,874 ",564 ,7 
,SPARKS,2018,"102,354 ",245 ,1 ,30 ,54 ,160 ,"1,197 ",273 ,761 ,163 ,10 
,,2019,,246 ,0 ,45 ,44 ,157 ,"1,205 ",264 ,754 ,187 ,3 
NEW HAMPSHIRE,MANCHESTER,2018,"111,422 ",322 ,0 ,35 ,65 ,222 ,"1,300 ",155 ,"1,067 ",78 ,10 
,,2019,,303 ,3 ,29 ,65 ,206 ,"1,152 ",135 ,936 ,81 ,3 
NEW JERSEY,EDISON TOWNSHIP,2018,"101,309 ",52 ,1 ,2 ,18 ,31 ,564 ,85 ,439 ,40 ,2 
,,2019,,40 ,1 ,4 ,8 ,27 ,626 ,62 ,520 ,44 ,1 
,ELIZABETH,2018,"129,080 ",395 ,3 ,23 ,156 ,213 ,"1,927 ",297 ,"1,227 ",403 ,5 
,,2019,,438 ,3 ,31 ,173 ,231 ,"1,886 ",169 ,"1,345 ",372 ,1 
,JERSEY CITY,2018,"270,175 ",535 ,7 ,39 ,198 ,291 ,"2,260 ",529 ,"1,454 ",277 ,7 
,,2019,,623 ,4 ,40 ,169 ,410 ,"2,401 ",453 ,"1,634 ",314 ,6 
,LAKEWOOD TOWNSHIP,2018,"102,915 ",48 ,0 ,1 ,5 ,42 ,369 ,72 ,270 ,27 ,5 
,,2019,,62 ,1 ,5 ,17 ,39 ,433 ,110 ,308 ,15 ,2 
,NEWARK,2018,"282,258 ",999 ,36 ,74 ,331 ,558 ,"2,877 ",431 ,"1,297 ","1,149 ",25 
,,2019,,883 ,29 ,62 ,311 ,481 ,"2,312 ",367 ,"1,168 ",777 ,6 
,PATERSON,2018,"146,893 ",494 ,4 ,24 ,229 ,237 ,"1,825 ",384 ,"1,198 ",243 ,4 
,,2019,,569 ,4 ,28 ,218 ,319 ,"1,678 ",491 ,974 ,213 ,16 
,WOODBRIDGE TOWNSHIP,2018,"100,884 ",64 ,0 ,4 ,15 ,45 ,647 ,65 ,543 ,39 ,4 
,,2019,,65 ,0 ,5 ,12 ,48 ,677 ,42 ,567 ,68 ,1 
NEW MEXICO,ALBUQUERQUE,2018,"560,235 ","3,905 ",40 ,248 ,"1,050 ","2,567 ","17,946 ","3,220 ","11,079 ","3,647 ",57 
,,2019,,"3,284 ",41 ,235 ,690 ,"2,318 ","15,338 ","2,926 ","9,657 ","2,755 ",40 
,LAS CRUCES,2018,"102,203 ",194 ,3 ,18 ,19 ,154 ,"1,822 ",274 ,"1,423 ",125 ,3 
,,2019,,256 ,6 ,36 ,23 ,191 ,"1,598 ",182 ,"1,287 ",129 ,1 
NEW YORK,AMHERST TOWN,2018,"121,343 ",79 ,0 ,12 ,25 ,42 ,780 ,88 ,679 ,13 ,1 
,,2019,,55 ,1 ,6 ,20 ,28 ,826 ,81 ,732 ,13 ,2 
,BUFFALO,2018,"258,219 ","1,289 ",24 ,92 ,416 ,757 ,"4,497 ","1,052 ","2,986 ",459 ,77 
,,2019,,"1,115 ",17 ,62 ,316 ,720 ,"3,643 ",711 ,"2,639 ",293 ,63 
,NEW YORK,2018,"8,523,171 ","22,436 ",156 ,"1,451 ","6,223 ","14,606 ","59,974 ","5,084 ","52,426 ","2,464 ",
,,2019,,"22,216 ",142 ,"1,391 ","5,838 ","14,845 ","57,521 ","4,425 ","50,911 ","2,185 ",
,ROCHESTER,2018,"207,701 ",744 ,15 ,66 ,239 ,424 ,"3,154 ",511 ,"2,374 ",269 ,30 
,,2019,,705 ,14 ,48 ,191 ,452 ,"3,190 ",535 ,"2,351 ",304 ,21 
,SYRACUSE,2018,"143,129 ",409 ,13 ,43 ,107 ,246 ,"1,874 ",331 ,"1,350 ",193 ,18 
,,2019,,542 ,10 ,53 ,109 ,370 ,"2,027 ",351 ,"1,413 ",263 ,24 
,YONKERS,2018,"202,827 ",371 ,1 ,16 ,108 ,246 ,837 ,136 ,630 ,71 ,2 
,,2019,,323 ,3 ,24 ,77 ,219 ,800 ,106 ,632 ,62 ,3 
"NORTH CAROLINA 5, 6, 8",CARY,2018,"170,518 ",,0 ,,22 ,42 ,782 ,137 ,626 ,19 ,3 
,,2019,,56 ,0 ,6 ,19 ,31 ,703 ,93 ,578 ,32 ,0 
,CHARLOTTE-MECKLENBURG5,2018,"931,235 ",,28 ,,833 ,"1,914 ",,,"12,430 ","1,423 ",74 
,,2019,,"3,319 ",53 ,134 ,851 ,"2,281 ",,,"12,572 ","1,447 ",78 
,DURHAM,2018,"273,759 ",,13 ,,276 ,470 ,"4,433 ","1,103 ","3,005 ",325 ,19 
,,2019,,965 ,22 ,64 ,299 ,580 ,"5,044 ",960 ,"3,747 ",337 ,16 
,FAYETTEVILLE5,2018,"210,117 ",,9 ,,98 ,648 ,"3,712 ",763 ,"2,769 ",180 ,
,,2019,,866 ,11 ,53 ,120 ,682 ,"3,398 ",549 ,"2,686 ",163 ,30 
,GREENSBORO,2018,"293,298 ",,23 ,,259 ,555 ,"4,605 ",945 ,"3,331 ",329 ,53 
,,2019,,"1,259 ",21 ,50 ,309 ,879 ,"5,651 ","1,138 ","4,050 ",463 ,42 
,HIGH POINT5,2018,"112,526 ",,8 ,,54 ,248 ,"1,798 ",299 ,"1,362 ",137 ,
,,2019,,353 ,10 ,20 ,47 ,276 ,"1,771 ",274 ,"1,318 ",179 ,9 
,WILMINGTON,2018,"120,920 ",,4 ,,65 ,271 ,"1,696 ",464 ,"1,126 ",106 ,6 
,,2019,,373 ,3 ,29 ,51 ,290 ,"1,575 ",335 ,"1,138 ",102 ,9 
NORTH DAKOTA,FARGO,2018,"124,906 ",246 ,3 ,53 ,33 ,157 ,"1,840 ",319 ,"1,373 ",148 ,5 
,,2019,,281 ,3 ,62 ,42 ,174 ,"1,909 ",394 ,"1,327 ",188 ,14 
OHIO,AKRON,2018,"197,690 ",756 ,12 ,112 ,170 ,462 ,"3,405 ",807 ,"2,233 ",365 ,29 
,,2019,,895 ,14 ,72 ,159 ,650 ,"2,949 ",736 ,"1,956 ",257 ,34 
,CINCINNATI5,2018,"301,952 ","1,148 ",34 ,155 ,417 ,542 ,"6,624 ","1,400 ","4,543 ",681 ,
,,2019,,"1,192 ",24 ,129 ,375 ,664 ,"5,982 ","1,234 ","4,187 ",561 ,
,CLEVELAND,2018,"384,666 ","3,019 ",40 ,256 ,"1,068 ","1,655 ","7,982 ","2,079 ","4,370 ","1,533 ",77 
,,2019,,"2,703 ",35 ,220 ,843 ,"1,605 ","7,762 ","2,095 ","4,393 ","1,274 ",73 
,COLUMBUS5,2018,"892,576 ","2,202 ",60 ,461 ,879 ,802 ,"15,219 ","3,126 ","10,036 ","2,057 ",
,,2019,,"2,122 ",49 ,372 ,823 ,878 ,"14,128 ","2,676 ","9,527 ","1,925 ",
,DAYTON,2018,"140,094 ",670 ,16 ,88 ,206 ,360 ,"2,994 ",812 ,"1,800 ",382 ,24 
,,2019,,630 ,10 ,93 ,151 ,376 ,"2,635 ",701 ,"1,573 ",361 ,3 
,"TOLEDO5, 9",2018,"275,023 ","1,093 ",23 ,106 ,285 ,679 ,"5,033 ","1,279 ","3,441 ",313 ,
,,2019,,"1,183 ",16 ,91 ,290 ,786 ,"4,462 ","1,132 ","3,015 ",315 ,
OKLAHOMA,BROKEN ARROW,2018,"109,663 ",69 ,1 ,30 ,6 ,32 ,"1,140 ",157 ,889 ,94 ,3 
,,2019,,71 ,0 ,19 ,13 ,39 ,968 ,139 ,763 ,66 ,4 
,NORMAN,2018,"124,577 ",172 ,2 ,42 ,25 ,103 ,"1,729 ",280 ,"1,283 ",166 ,4 
,,2019,,162 ,0 ,39 ,22 ,101 ,"1,538 ",219 ,"1,155 ",164 ,3 
,OKLAHOMA CITY6,2018,"652,936 ","2,708 ",34 ,264 ,491 ,"1,919 ","12,384 ","3,050 ","7,689 ","1,645 ",28 
,,2019,,"2,290 ",31 ,212 ,437 ,"1,610 ","12,562 ","2,768 ","8,031 ","1,763 ",34 
,TULSA,2018,"403,147 ","1,993 ",21 ,192 ,366 ,"1,414 ","10,792 ","2,359 ","6,812 ","1,621 ",97 
,,2019,,"1,993 ",29 ,160 ,333 ,"1,471 ","10,031 ","2,270 ","6,412 ","1,349 ",91 
OREGON,EUGENE,2018,"170,771 ",322 ,1 ,65 ,93 ,163 ,"2,754 ",403 ,"2,088 ",263 ,21 
,,2019,,304 ,2 ,62 ,79 ,161 ,"2,777 ",434 ,"2,080 ",263 ,16 
,GRESHAM,2018,"111,797 ",218 ,0 ,34 ,53 ,131 ,"1,906 ",237 ,"1,019 ",650 ,4 
,,2019,,227 ,1 ,40 ,54 ,132 ,"1,733 ",204 ,"1,009 ",520 ,16 
,HILLSBORO,2018,"109,121 ",168 ,0 ,38 ,36 ,94 ,"1,034 ",95 ,829 ,110 ,4 
,,2019,,136 ,0 ,41 ,28 ,67 ,"1,065 ",85 ,868 ,112 ,7 
,PORTLAND10,2018,"657,260 ","1,707 ",10 ,245 ,526 ,926 ,"18,043 ","2,181 ","12,459 ","3,403 ",
,,2019,,"1,736 ",16 ,188 ,470 ,"1,062 ","16,789 ","2,125 ","11,423 ","3,241 ",119 
,SALEM,2018,"172,022 ",398 ,2 ,35 ,99 ,262 ,"3,739 ",407 ,"2,809 ",523 ,22 
,,2019,,312 ,0 ,17 ,66 ,229 ,"3,256 ",341 ,"2,511 ",404 ,23 
PENNSYLVANIA,ALLENTOWN,2018,"121,743 ",187 ,4 ,25 ,81 ,77 ,"1,336 ",203 ,998 ,135 ,4 
,,2019,,230 ,4 ,32 ,76 ,118 ,"1,261 ",261 ,907 ,93 ,4 
,PHILADELPHIA,2018,"1,586,916 ","6,956 ",148 ,536 ,"2,481 ","3,791 ","23,172 ","3,036 ","17,491 ","2,645 ",212 
,,2019,,"7,224 ",163 ,494 ,"2,576 ","3,991 ","22,884 ","2,789 ","17,489 ","2,606 ",226 
,PITTSBURGH,2018,"302,544 ",827 ,30 ,54 ,329 ,414 ,"4,159 ",636 ,"3,201 ",322 ,52 
,,2019,,784 ,18 ,83 ,274 ,409 ,"3,648 ",577 ,"2,780 ",291 ,50 
RHODE ISLAND,PROVIDENCE,2018,"180,169 ",428 ,5 ,62 ,119 ,242 ,"2,829 ",393 ,"2,114 ",322 ,8 
,,2019,,384 ,5 ,51 ,96 ,232 ,"2,302 ",321 ,"1,766 ",215 ,2 
SOUTH CAROLINA,CHARLESTON,2018,"137,092 ",176 ,4 ,19 ,34 ,119 ,"1,408 ",137 ,"1,109 ",162 ,3 
,,2019,,254 ,4 ,24 ,41 ,185 ,"1,333 ",157 ,992 ,184 ,3 
,COLUMBIA,2018,"133,540 ",524 ,7 ,54 ,104 ,359 ,"3,455 ",479 ,"2,567 ",409 ,17 
,,2019,,467 ,11 ,35 ,106 ,315 ,"3,109 ",456 ,"2,327 ",326 ,6 
SOUTH DAKOTA,SIOUX FALLS,2018,"180,335 ",371 ,3 ,51 ,54 ,263 ,"2,447 ",299 ,"1,887 ",261 ,16 
,,2019,,352 ,0 ,38 ,24 ,290 ,"2,026 ",244 ,"1,532 ",250 ,13 
TENNESSEE,CHATTANOOGA,2018,"180,397 ",919 ,8 ,78 ,168 ,665 ,"5,238 ",705 ,"3,831 ",702 ,3 
,,2019,,918 ,11 ,78 ,98 ,731 ,"4,605 ",571 ,"3,505 ",529 ,20 
,CLARKSVILLE,2018,"156,264 ",510 ,12 ,55 ,64 ,379 ,"2,232 ",299 ,"1,772 ",161 ,12 
,,2019,,460 ,6 ,39 ,48 ,367 ,"2,241 ",263 ,"1,747 ",231 ,6 
,KNOXVILLE,2018,"188,653 ",798 ,16 ,71 ,153 ,558 ,"4,465 ",657 ,"3,272 ",536 ,5 
,,2019,,630 ,10 ,88 ,120 ,412 ,"3,888 ",556 ,"2,875 ",457 ,3 
,MEMPHIS,2018,"652,226 ","6,085 ",76 ,254 ,"1,410 ","4,345 ","20,155 ","4,118 ","13,777 ","2,260 ",135 
,,2019,,"6,238 ",90 ,216 ,"1,150 ","4,782 ","19,088 ","3,733 ","13,482 ","1,873 ",163 
,METROPOLITAN NASHVILLE POLICE DEPARTMENT,2018,"686,492 ","3,683 ",40 ,232 ,944 ,"2,467 ","12,776 ","1,687 ","9,631 ","1,458 ",25 
,,2019,,"3,404 ",30 ,204 ,923 ,"2,247 ","12,825 ","1,667 ","9,810 ","1,348 ",22 
,MURFREESBORO,2018,"140,702 ",322 ,7 ,46 ,56 ,213 ,"2,077 ",296 ,"1,648 ",133 ,4 
,,2019,,269 ,1 ,31 ,48 ,189 ,"1,959 ",282 ,"1,559 ",118 ,3 
TEXAS,ABILENE,2018,"122,480 ",272 ,2 ,60 ,38 ,172 ,"1,848 ",417 ,"1,304 ",127 ,1 
,,2019,,252 ,2 ,44 ,35 ,171 ,"1,566 ",265 ,"1,198 ",103 ,4 
,ALLEN,2018,"103,168 ",60 ,0 ,18 ,11 ,31 ,610 ,64 ,522 ,24 ,0 
,,2019,,48 ,0 ,11 ,10 ,27 ,547 ,47 ,472 ,28 ,0 
,AMARILLO,2018,"201,082 ",786 ,5 ,106 ,136 ,539 ,"4,195 ",731 ,"3,017 ",447 ,17 
,,2019,,767 ,7 ,90 ,134 ,536 ,"3,804 ",737 ,"2,581 ",486 ,21 
,ARLINGTON,2018,"400,920 ",918 ,4 ,116 ,187 ,611 ,"6,085 ",804 ,"4,660 ",621 ,7 
,,2019,,957 ,8 ,116 ,184 ,649 ,"5,498 ",611 ,"4,281 ",606 ,9 
,AUSTIN6,2018,"973,344 ","1,915 ",16 ,407 ,515 ,977 ,"15,268 ","1,984 ","12,088 ","1,196 ",36 
,,2019,,"1,899 ",13 ,281 ,437 ,"1,168 ","17,563 ","1,950 ","14,206 ","1,407 ",56 
,BEAUMONT,2018,"119,368 ",636 ,5 ,54 ,173 ,404 ,"2,222 ",483 ,"1,528 ",211 ,18 
,,2019,,588 ,8 ,41 ,141 ,398 ,"2,118 ",473 ,"1,496 ",149 ,11 
,BROWNSVILLE,2018,"184,461 ",313 ,2 ,12 ,75 ,224 ,"2,559 ",288 ,"2,207 ",64 ,5 
,,2019,,368 ,0 ,0 ,69 ,299 ,"2,231 ",307 ,"1,860 ",64 ,8 
,CARROLLTON,2018,"138,216 ",93 ,2 ,26 ,29 ,36 ,"1,130 ",187 ,826 ,117 ,0 
,,2019,,97 ,1 ,15 ,37 ,44 ,"1,052 ",152 ,764 ,136 ,1 
,COLLEGE STATION,2018,"116,565 ",114 ,1 ,29 ,15 ,69 ,"1,226 ",134 ,"1,028 ",64 ,0 
,,2019,,120 ,1 ,23 ,22 ,74 ,"1,133 ",205 ,834 ,94 ,0 
,CORPUS CHRISTI6,2018,"328,614 ","1,214 ",14 ,147 ,239 ,814 ,"5,993 ","1,083 ","4,465 ",445 ,34 
,,2019,,"1,220 ",11 ,126 ,229 ,854 ,"5,450 ",923 ,"4,127 ",400 ,28 
,DALLAS,2018,"1,362,465 ","4,763 ",81 ,434 ,"1,744 ","2,504 ","21,200 ","4,773 ","11,987 ","4,440 ",106 
,,2019,,"5,801 ",109 ,395 ,"2,188 ","3,109 ","22,995 ","4,993 ","12,795 ","5,207 ",70 
