State,City,,Population1,"Violent 
crime",Murder,Rape2,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
,,2019,,134 ,0 ,16 ,51 ,67 ,"1,903 ",204 ,"1,515 ",184 ,11 
,DALY CITY,2018,"107,928 ",113 ,2 ,18 ,45 ,48 ,719 ,119 ,517 ,83 ,3 
,,2019,,122 ,0 ,26 ,47 ,49 ,897 ,88 ,714 ,95 ,7 
,DOWNEY,2018,"113,277 ",174 ,3 ,7 ,83 ,81 ,"1,353 ",243 ,785 ,325 ,8 
,,2019,,177 ,3 ,15 ,77 ,82 ,"1,344 ",166 ,888 ,290 ,2 
,EL CAJON,2018,"104,497 ",246 ,2 ,20 ,86 ,138 ,"1,164 ",166 ,827 ,171 ,9 
,,2019,,273 ,2 ,18 ,94 ,159 ,"1,120 ",206 ,750 ,164 ,8 
,EL MONTE,2018,"116,464 ",181 ,2 ,12 ,78 ,89 ,"1,216 ",257 ,677 ,282 ,10 
,,2019,,138 ,1 ,15 ,63 ,59 ,910 ,183 ,497 ,230 ,2 
,ELK GROVE,2018,"174,651 ",198 ,0 ,16 ,40 ,142 ,"1,128 ",147 ,892 ,89 ,6 
,,2019,,172 ,0 ,18 ,62 ,92 ,"1,221 ",144 ,989 ,88 ,4 
,ESCONDIDO,2018,"153,073 ",237 ,1 ,28 ,71 ,137 ,"1,370 ",187 ,933 ,250 ,5 
,,2019,,260 ,3 ,22 ,70 ,165 ,"1,201 ",184 ,806 ,211 ,3 
,FAIRFIELD,2018,"117,883 ",335 ,2 ,53 ,89 ,191 ,"1,639 ",211 ,"1,121 ",307 ,11 
,,2019,,222 ,2 ,27 ,72 ,121 ,"1,821 ",175 ,"1,374 ",272 ,11 
,FONTANA,2018,"213,964 ",331 ,5 ,27 ,94 ,205 ,"1,683 ",289 ,928 ,466 ,5 
,,2019,,337 ,4 ,38 ,90 ,205 ,"1,559 ",262 ,914 ,383 ,4 
,FREMONT,2018,"238,024 ",274 ,1 ,32 ,115 ,126 ,"2,387 ",404 ,"1,620 ",363 ,6 
,,2019,,198 ,1 ,13 ,82 ,102 ,"2,310 ",258 ,"1,751 ",301 ,5 
,FRESNO,2018,"531,818 ","1,489 ",18 ,93 ,473 ,905 ,"8,628 ","1,411 ","6,126 ","1,091 ",129 
,,2019,,"1,394 ",23 ,74 ,378 ,919 ,"8,898 ","1,478 ","6,234 ","1,186 ",52 
,FULLERTON,2018,"141,132 ",174 ,0 ,27 ,66 ,81 ,"1,878 ",176 ,"1,460 ",242 ,8 
,,2019,,150 ,1 ,38 ,44 ,67 ,"1,607 ",120 ,"1,301 ",186 ,11 
,GARDEN GROVE,2018,"174,661 ",266 ,2 ,28 ,90 ,146 ,"2,096 ",329 ,"1,438 ",329 ,6 
,,2019,,241 ,1 ,24 ,86 ,130 ,"1,918 ",298 ,"1,386 ",234 ,7 
