State,City,,Population1,"Violent
crime",Murder,Forcible rape,Robbery,Aggravated assault,"Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2,,
,FAIRFIELD,2010,,502,8,18,185,291,"3,395",757,"2,169",469,17,,
,,2011,"106,559",425,5,21,148,251,"2,974",572,"2,055",347,13,,
,FONTANA ,2010,,759,6,37,240,476,"3,681",804,"2,130",747,13,,
,,2011,"198,374",720,5,39,241,435,"4,235","1,041","2,411",783,9,,
,FREMONT ,2010,,488,3,40,189,256,"4,414","1,167","2,757",490,22,,
,,2011,"216,606",384,2,35,156,191,"3,952","1,206","2,303",443,19,,
,FRESNO,2010,,"3,034",45,70,"1,021","1,898","24,460","5,262","14,645","4,553",147,,
,,2011,"500,480","2,915",35,51,"1,020","1,809","25,421","5,713","14,928","4,780",136,,
,FULLERTON,2010,,425,3,26,145,251,"3,847",680,"2,825",342,22,,
,,2011,"136,750",306,2,25,104,175,"3,550",643,"2,548",359,11,,
,GARDEN GROVE,2010,,539,3,22,184,330,"3,590",810,"2,318",462,13,,
,,2011,"172,892",449,2,19,171,257,"3,387",717,"2,242",428,17,,
,GLENDALE,2010,,277,0,17,119,141,"3,717",642,"2,747",328,12,,
,,2011,"193,973",258,0,14,108,136,"3,452",623,"2,506",323,5,,
,HAYWARD,2010,,652,13,48,391,200,"3,753","1,097","1,649","1,007",55,,
,,2011,"145,881",579,7,44,360,168,"3,782",988,"1,693","1,101",16,,
,HUNTINGTON BEACH,2010,,449,2,32,109,306,"4,673",767,"3,621",285,28,,
,,2011,"192,226",406,4,34,108,260,"4,589",753,"3,584",252,20,,
,INGLEWOOD,2010,,843,20,32,381,410,"2,672",627,"1,342",703,16,,
,,2011,"110,962",808,13,33,343,419,"2,582",568,"1,459",555,32,,
,IRVINE,2010,,120,0,24,40,56,"2,798",480,"2,197",121,23,,
,,2011,"214,872",120,2,11,40,67,"3,280",513,"2,649",118,17,,
,LANCASTER,2010,,900,7,60,255,578,"3,411","1,033","1,939",439,44,,
,,2011,"158,474",851,4,42,273,532,"3,216",986,"1,843",387,35,,
,LONG BEACH ,2010,,"2,720",32,134,"1,202","1,352","11,642","2,929","6,524","2,189",79,,
,,2011,"467,691","2,857",25,112,"1,320","1,400","12,816","3,275","7,329","2,212",103,,
,LOS ANGELES,2010,,"21,484",293,923,"10,924","9,344","89,704","17,410","55,248","17,046","1,341",,
,,2011,"3,837,207","20,045",297,828,"10,077","8,843","86,330","17,264","53,469","15,597","1,376",,
,MODESTO ,2010,,"1,398",10,62,427,899,"9,383","2,171","5,786","1,426",56,,
,,2011,"203,530","1,413",14,67,425,907,"8,894","2,121","5,410","1,363",56,,
,MORENO VALLEY,2010,,724,15,33,373,303,"5,222","1,843","2,595",784,10,,
,,2011,"195,638",732,7,32,330,363,"5,762","2,095","2,767",900,3,,
,MURRIETA,2010,,99,1,10,33,55,"1,407",429,852,126,6,,
, ,2011,"104,682",105,2,13,34,56,"1,495",348,"1,031",116,10,,
,NORWALK ,2010,,449,4,14,159,272,"2,072",438,"1,040",594,13,,
,,2011,"106,790",371,5,10,138,218,"2,274",476,"1,156",642,21,,
,OAKLAND,2010,,"6,267",90,318,"2,917","2,942","17,325","4,961","7,720","4,644",163,,
,,2011,"395,317","6,652",104,202,"3,365","2,981","20,904","5,170","9,429","6,305",138,,
,OCEANSIDE,2010,,650,4,47,177,422,"3,909",765,"2,799",345,25,,
,,2011,"169,050",620,7,58,181,374,"3,849",792,"2,704",353,22,,
,ONTARIO,2010,,630,3,48,237,342,"4,918",850,"3,170",898,32,,
,,2011,"165,851",493,6,27,209,251,"4,858",939,"3,057",862,22,,
,ORANGE,2010,,150,3,3,56,88,"2,569",404,"1,944",221,13,,
,,2011,"138,020",157,3,6,82,66,"2,652",445,"2,001",206,9,,
,OXNARD ,2010,,691,8,19,329,335,"4,018",785,"2,760",473,21,,
,,2011,"200,225",619,8,26,274,311,"3,499",577,"2,563",359,26,,
,PALMDALE,2010,,832,8,41,261,522,"3,334",959,"1,890",485,35,,
,,2011,"154,546",785,9,38,246,492,"3,273",959,"1,906",408,29,,
,PASADENA,2010,,554,3,21,189,341,"4,074",832,"2,864",378,13,,
,,2011,"138,734",435,7,26,178,224,"3,672","1,011","2,382",279,25,,
,POMONA,2010,,877,16,37,323,501,"4,504",867,"2,406","1,231",16,,
,,2011,"150,810",927,11,54,339,523,"4,444",890,"2,578",976,17,,
,RANCHO CUCAMONGA ,2010,,340,2,14,111,213,"3,703",879,"2,505",319,13,,
,,2011,"167,212",293,6,13,103,171,"3,915","1,173","2,381",361,11,,
,RIALTO,2010,,497,7,32,193,265,"2,565",721,"1,338",506,10,,
,,2011,"100,337",480,6,18,204,252,"2,978",934,"1,524",520,21,,
,RICHMOND,2010,,"1,176",21,44,405,706,"4,623","1,521","1,506","1,596",51,,
,,2011,"104,920","1,035",26,39,303,667,"4,546","1,651","1,533","1,362",32,,
,RIVERSIDE,2010,,"1,448",9,78,502,859,"9,963","2,068","6,434","1,461",49,,
,,2011,"307,443","1,310",13,57,458,782,"9,631","2,080","6,278","1,273",49,,
,ROSEVILLE,2010,,334,1,17,87,229,"3,802",542,"3,029",231,6,,
,,2011,"120,184",248,1,24,43,180,"3,541",534,"2,786",221,11,,
