"State","Year","Population","Violent Crime","Murder","Rape","Robbery","Aggravated Assault","Property Crime","Burglary","Larceny Theft","Motor Vehicle Theft","Arson"
"OREGON",2019,"244194","543","4","70","139","330","5124","638","3578","908","36"
"PENNSYLVANIA",2019,"670401","2746","62","203","975","1506","9264","1209","7059","997","93"
"RHODE ISLAND",2019,"180169","384","5","51","96","232","2302","321","1766","215","2"
"SOUTH CAROLINA",2019,"135316","361","8","30","74","250","2221","307","1660","255","5"
"SOUTH DAKOTA",2019,"180335","352","0","38","24","290","2026","244","1532","250","13"
"TENNESSEE",2019,"334122","1987","25","109","398","1455","7434","1179","5496","759","36"
"TEXAS",2019,"279337","702","8","84","168","441","4096","615","3011","470","13"
"UTAH",2019,"143286","333","3","62","70","199","2358","283","1808","268","6"
"VIRGINIA",2019,"229837","366","8","38","78","242","2519","238","2073","208","10"
"WASHINGTON",2019,"151524","314","2","51","78","183","3238","425","2410","403","9"
"WISCONSIN",2019,"319785","1368","15","84","295","974","3296","642","2033","621","31"
