State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor Vehicle Theft,Arson
ALASKA,ANCHORAGE,2013,299455,1200,9,199,240,752,5571,591,4583,397,33
ARIZONA,GILBERT,2013,225232,103,1,6,23,73,1636,311,1257,68,15
COLORADO,WESTMINSTER,2013,110093,117,1,9,27,80,1453,214,1059,180,7
COLORADO,PUEBLO,2013,108062,471,1,88,110,272,3613,875,2533,205,15
COLORADO,LAKEWOOD,2013,146298,316,4,58,59,195,3543,440,2804,299,9
COLORADO,FORT COLLINS,2013,150066,167,0,34,14,119,1847,248,1534,65,7
COLORADO,DENVER,2013,648981,1949,21,266,531,1131,11407,2315,7397,1695,43
COLORADO,THORNTON,2013,125775,152,3,36,25,88,1539,191,1176,172,11
COLORADO,CENTENNIAL8  ,2013,104771,83,5,17,12,49,571,87,457,27,7
COLORADO,BOULDER,2013,102828,116,0,23,13,80,1339,224,1071,44,10
COLORADO,AURORA,2013,343484,712,10,116,243,343,5339,953,3926,460,44
COLORADO,ARVADA,2013,110792,84,0,18,17,49,1414,171,1151,92,14
COLORADO,COLORADO SPRINGS,2013,436108,897,14,174,211,498,8830,1809,6071,950,30
FLORIDA,ORLANDO,2013,253238,1144,12,57,253,822,8115,1848,5753,514,21
FLORIDA,WEST PALM BEACH,2013,102510,324,8,6,131,179,2307,496,1622,189,9
FLORIDA,TAMPA ,2013,351314,975,11,40,232,692,4190,920,2995,275,42
FLORIDA,TALLAHASSEE ,2013,188714,728,7,87,216,418,3819,997,2652,170,7
FLORIDA,ST. PETERSBURG,2013,247084,1208,8,67,339,794,6461,1480,4481,500,29
FLORIDA,PORT ST. LUCIE,2013,169877,142,0,13,15,114,938,283,620,35,1
FLORIDA,POMPANO BEACH,2013,103971,406,2,36,138,230,2497,620,1728,149,6
FLORIDA,PEMBROKE PINES ,2013,162064,143,0,5,47,91,2017,424,1504,89,2
FLORIDA,PALM BAY,2013,104391,264,3,11,32,218,1136,338,731,67,10
FLORIDA,MIRAMAR,2013,130926,257,1,23,81,152,1546,487,948,111,9
FLORIDA,LAKELAND,2013,100725,229,3,26,71,129,2705,565,2041,99,2
FLORIDA,MIAMI,2013,418394,2379,29,49,1037,1264,10270,1972,7392,906,38
FLORIDA,MIAMI GARDENS,2013,111870,487,6,8,178,295,2248,541,1460,247,10
FLORIDA,CLEARWATER,2013,108908,314,2,33,89,190,2051,383,1573,95,7
FLORIDA,CORAL SPRINGS,2013,126608,120,0,10,57,53,1201,199,942,60,2
FLORIDA,FORT LAUDERDALE,2013,172398,697,5,43,332,317,4697,1318,3117,262,22
FLORIDA,CAPE CORAL,2013,163461,103,2,1,24,76,1611,336,1210,65,3
FLORIDA,HIALEAH,2013,234182,365,2,25,100,238,3177,400,2435,342,6
FLORIDA,HOLLYWOOD,2013,146643,361,5,32,133,191,3425,784,2360,281,3
FLORIDA,JACKSONVILLE,2013,845745,2521,33,247,627,1614,15815,3385,11674,756,46
FLORIDA,GAINESVILLE,2013,126589,407,3,26,70,308,2372,382,1898,92,5
IDAHO,BOISE  ,2013,214330,285,3,59,16,207,2184,373,1721,90,24
ILLINOIS,ROCKFORD,2013,150209,1009,7,78,177,747,3397,882,2316,199,39
INDIANA,FORT WAYNE,2013,254820,395,15,33,194,153,4482,1015,3309,158,10
INDIANA,SOUTH BEND,2013,100711,285,3,44,156,82,2095,611,1349,135,12
IOWA,CEDAR RAPIDS,2013,128642,210,4,28,42,136,2155,435,1589,131,8
IOWA,DES MOINES,2013,207391,485,5,53,111,316,4771,1148,3215,408,20
KANSAS,WICHITA,2013,386486,1447,7,114,249,1077,9955,1835,7354,766,59
KENTUCKY,LEXINGTON,2013,308712,420,8,67,198,147,6011,1240,4414,357,25
MASSACHUSETTS,SPRINGFIELD,2013,153586,822,12,43,281,486,3269,1040,1917,312,23
MASSACHUSETTS,WORCESTER,2013,183454,805,5,18,194,588,3042,987,1858,197,3
MASSACHUSETTS,CAMBRIDGE,2013,107282,180,2,9,55,114,1244,175,1024,45,5
MASSACHUSETTS,LOWELL,2013,109449,294,2,20,96,176,1605,373,1084,148,10
MICHIGAN,DETROIT,2013,699889,7039,154,316,2310,4259,20002,5731,8593,5678,301
MICHIGAN,GRAND RAPIDS,2013,191213,594,6,24,202,362,2833,737,1984,112,26
MINNESOTA,MINNEAPOLIS,2013,396206,1782,13,195,784,790,8502,1870,5886,746,65
MINNESOTA,ROCHESTER,2013,109675,96,0,23,18,55,1264,229,986,49,5
MINNESOTA,ST. PAUL,2013,294690,991,7,115,301,568,5132,1318,3045,769,47
MISSOURI,SPRINGFIELD,2013,163062,908,6,133,189,580,7193,1140,5528,525,38
MISSOURI,KANSAS CITY,2013,465514,2895,46,212,776,1861,12447,3337,7156,1954,96
MISSOURI,ST. LOUIS,2013,318563,2419,49,162,680,1528,9934,1960,6432,1542,79
MISSOURI,COLUMBIA,2013,114587,211,4,21,58,128,1957,265,1627,65,4
MISSOURI,INDEPENDENCE,2013,117381,222,1,28,51,142,3403,595,2432,376,18
MONTANA,BILLINGS,2013,107802,167,0,12,32,123,2771,480,2073,218,4
NEW HAMPSHIRE,MANCHESTER,2013,110411,318,2,46,112,158,1850,367,1419,64,17
NORTH DAKOTA,FARGO,2013,111101,212,1,37,22,152,1367,291,1005,71,3
OHIO,AKRON,2013,198405,833,14,82,269,468,4684,1478,2897,309,42
OHIO,CINCINNATI,2013,296491,1418,35,103,775,505,7977,2467,4937,573,142
OHIO,CLEVELAND,2013,389181,2725,27,216,1621,861,11082,3820,5242,2020,149
OHIO,DAYTON,2013,141167,623,13,54,260,296,3556,1181,2066,309,70
OREGON,SALEM,2013,158234,269,2,23,76,168,3534,503,2683,348,24
PENNSYLVANIA,ALLENTOWN,2013,119277,310,7,22,165,116,2012,601,1251,160,2
PENNSYLVANIA,ERIE,2013,100814,224,2,36,89,97,1439,439,958,42,14
RHODE ISLAND,PROVIDENCE,2013,178887,506,6,44,164,292,3796,873,2416,507,8
SOUTH CAROLINA,NORTH CHARLESTON,2013,103324,337,6,28,86,217,2821,466,2112,243,9
SOUTH CAROLINA,CHARLESTON,2013,127206,111,2,18,36,55,1572,121,1372,79,1
SOUTH CAROLINA,COLUMBIA,2013,132240,464,2,31,163,268,3851,701,2803,347,5
SOUTH DAKOTA,SIOUX FALLS,2013,161754,318,1,78,33,206,2184,348,1730,106,11
TENNESSEE,CHATTANOOGA,2013,172286,870,14,34,217,605,5367,1105,3817,445,4
TENNESSEE,CLARKSVILLE,2013,145599,368,3,45,59,261,1990,465,1447,78,16
TENNESSEE,KNOXVILLE,2013,183249,721,11,58,182,470,5526,1088,4113,325,10
TENNESSEE,MEMPHIS,2013,657691,5413,62,209,1508,3634,19187,5611,12189,1387,177
TENNESSEE,MURFREESBORO,2013,115587,350,3,23,67,257,1993,376,1520,97,3
TENNESSEE,NASHVILLE,2013,635673,3165,15,211,794,2145,12479,2760,9113,606,51
UTAH,SALT LAKE CITY,2013,190246,729,2,105,194,428,7408,1065,5532,811,22
VIRGINIA,HAMPTON,2013,136949,134,12,8,49,65,2047,334,1623,90,14
VIRGINIA,VIRGINIA BEACH,2013,450687,394,10,83,158,143,5399,718,4517,164,59
VIRGINIA,RICHMOND,2013,212830,602,14,22,283,283,3972,776,2738,458,32
VIRGINIA,NORFOLK,2013,247303,699,15,64,205,415,5434,1039,4018,377,29
VIRGINIA,ALEXANDRIA,2013,148519,110,3,11,45,51,1448,108,1205,135,8
VIRGINIA,CHESAPEAKE,2013,230577,364,1,28,86,249,2931,537,2282,112,13
