State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor Vehicle Theft,Arson
ALABAMA,HUNTSVILLE,2012,183691,813,1,46,231,535,4606,1095,3136,375,10
ALABAMA,MONTGOMERY,2012,209018,315,12,13,150,140,4461,1127,2968,366,30
ALASKA,ANCHORAGE,2012,299143,1217,11,145,234,827,4871,503,4009,359,47
ARIZONA,TEMPE     ,2012,166061,446,9,28,125,284,3857,570,3048,239,15
ARIZONA,SURPRISE,2012,120793,78,1,4,27,46,1359,313,981,65,7
ARIZONA,PHOENIX,2012,1485509,4451,61,263,1716,2411,29394,8560,17262,3572,159
ARIZONA,PEORIA,2012,158347,152,5,7,39,101,2444,516,1768,160,6
ARIZONA,SCOTTSDALE,2012,223432,149,2,18,51,78,3022,602,2300,120,20
ARIZONA,GLENDALE,2012,232997,566,7,25,201,333,7107,1441,5010,656,49
ARIZONA,GILBERT,2012,214264,103,4,9,25,65,1707,325,1286,96,14
ARIZONA,CHANDLER,2012,242721,315,2,37,72,204,3412,513,2765,134,27
ARIZONA,MESA ,2012,451391,889,8,85,257,539,7045,1291,5334,420,46
ARKANSAS,LITTLE ROCK,2012,196055,1230,21,72,338,799,7483,1971,4994,518,46
CALIFORNIA,RIVERSIDE,2012,313532,603,10,36,235,322,5050,1060,3361,629,34
CALIFORNIA,SAN BERNARDINO ,2012,214987,928,23,32,376,497,4939,1398,2425,1116,22
CALIFORNIA,SALINAS,2012,154413,514,13,20,241,240,2280,562,1282,436,23
CALIFORNIA,SACRAMENTO,2012,476557,1731,15,67,576,1073,9658,2123,5764,1771,65
CALIFORNIA,ROSEVILLE,2012,122896,147,2,4,50,91,1557,256,1201,100,10
CALIFORNIA,RICHMOND,2012,106357,548,10,23,183,332,2334,724,818,792,13
CALIFORNIA,ORANGE,2012,139692,75,4,4,36,31,1364,222,1006,136,11
CALIFORNIA,RANCHO CUCAMONGA ,2012,169276,161,2,5,54,100,2118,710,1206,202,7
CALIFORNIA,POMONA,2012,151511,457,11,25,176,245,2429,418,1471,540,9
CALIFORNIA,PASADENA,2012,139382,181,1,7,77,96,1735,440,1181,114,28
CALIFORNIA,PALMDALE,2012,155294,395,2,21,108,264,1633,507,994,132,16
CALIFORNIA,OXNARD ,2012,201797,289,4,0,150,135,1909,401,1269,239,19
CALIFORNIA,SAN DIEGO,2012,1338477,2719,27,172,726,1794,15286,2782,9371,3133,86
CALIFORNIA,RIALTO,2012,101595,260,1,10,102,147,1811,497,894,420,6
CALIFORNIA,SAN FRANCISCO,2012,820363,2767,38,55,1601,1073,17987,2643,12910,2434,104
CALIFORNIA,STOCKTON,2012,299105,2401,33,56,790,1522,7460,2261,4115,1084,36
CALIFORNIA,SANTA CLARA,2012,119360,97,0,7,33,57,1596,284,1117,195,13
CALIFORNIA,WEST COVINA,2012,107861,130,0,5,49,76,1641,250,1098,293,1
CALIFORNIA,VISALIA,2012,127604,269,2,22,67,178,2666,558,1876,232,2
CALIFORNIA,VICTORVILLE,2012,118687,355,2,20,108,225,2019,805,921,293,11
CALIFORNIA,VENTURA,2012,108511,153,1,17,70,65,1753,334,1307,112,11
CALIFORNIA,VALLEJO,2012,117912,449,6,24,199,220,2951,1305,879,767,21
