State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor Vehicle Theft,Arson
ALABAMA,BIRMINGHAM,2014,212115,1619,23,83,454,1059,6596,1716,4169,711,76
ALABAMA,HUNTSVILLE,2014,187624,770,12,50,188,520,4376,908,3111,357,12
ALABAMA,MOBILE,2014,250655,747,17,67,203,460,5747,1461,4039,247,54
ALASKA,ANCHORAGE,2014,301306,1209,6,193,247,763,5515,629,4474,412,33
ARIZONA,TEMPE,2014,169812,429,1,48,93,287,3878,596,3061,221,24
ARIZONA,SURPRISE,2014,125049,69,3,4,19,43,998,167,758,73,9
ARIZONA,SCOTTSDALE,2014,229325,173,0,38,39,96,2629,449,2076,104,5
ARIZONA,PHOENIX,2014,1529852,4234,50,486,1407,2291,28145,6928,17672,3545,173
ARIZONA,GLENDALE,2014,236780,431,8,59,170,194,6055,969,4584,502,23
ARIZONA,GILBERT,2014,235430,113,0,9,31,73,1670,239,1368,63,10
ARIZONA,CHANDLER,2014,252369,228,1,24,55,148,2941,518,2315,108,49
ARIZONA,PEORIA,2014,164722,120,1,17,27,75,1752,294,1365,93,3
CALIFORNIA,OXNARD,2014,204159,447,5,27,233,182,2968,584,2041,343,21
CALIFORNIA,THOUSAND OAKS,2014,129175,69,0,13,11,45,794,162,582,50,3
CALIFORNIA,SAN FRANCISCO,2014,850294,3279,14,163,1510,1592,21330,2722,15613,2995,117
CALIFORNIA,ROSEVILLE,2014,128997,101,1,9,27,64,1509,204,1191,114,8
CALIFORNIA,RANCHO CUCAMONGA,2014,172694,130,3,6,44,77,1866,663,975,228,11
CALIFORNIA,LOS ANGELES,2014,3906772,8700,132,522,3619,4427,39703,6875,26431,6397,675
CALIFORNIA,SUNNYVALE,2014,149384,78,0,9,36,33,1143,250,749,144,12
CALIFORNIA,HAYWARD,2014,153319,289,5,20,152,112,2372,474,1237,661,22
CALIFORNIA,ELK GROVE,2014,162957,315,0,16,56,243,1427,291,1051,85,3
CALIFORNIA,DALY CITY,2014,105628,100,2,12,39,47,817,163,519,135,6
CALIFORNIA,CONCORD,2014,126744,217,1,12,78,126,2466,417,1597,452,2
CALIFORNIA,HUNTINGTON BEACH,2014,199152,191,1,27,50,113,2120,298,1675,147,7
CALIFORNIA,BERKELEY,2014,117753,179,1,20,108,50,2391,410,1680,301,5
COLORADO,THORNTON,2014,129442,171,5,38,23,105,1804,212,1400,192,10
COLORADO,PUEBLO,2014,108591,415,4,60,88,263,3651,914,2375,362,20
COLORADO,LAKEWOOD,2014,148236,334,3,57,70,204,3298,493,2495,310,7
COLORADO,WESTMINSTER,2014,112100,130,2,18,28,82,1590,154,1286,150,5
COLORADO,COLORADO SPRINGS,2014,444949,982,11,196,207,568,7696,1252,5686,758,55
COLORADO,BOULDER,2014,104284,122,1,22,13,86,1360,225,1056,79,14
COLORADO,AURORA,2014,350948,698,5,129,191,373,4832,905,3430,497,41
COLORADO,FORT COLLINS,2014,154015,135,0,20,9,106,1690,194,1424,72,9
CONNECTICUT,BRIDGEPORT,2014,147822,617,2,32,248,335,1908,485,1114,309,15
CONNECTICUT,HARTFORD,2014,124943,671,7,22,229,413,2587,376,1823,388,19
CONNECTICUT,STAMFORD,2014,127385,147,1,12,68,66,955,114,742,99,7
CONNECTICUT,WATERBURY,2014,109495,165,3,14,83,65,1973,172,1514,287,5
FLORIDA,PALM BAY,2014,105287,281,0,23,24,234,1054,230,754,70,3
FLORIDA,PEMBROKE PINES,2014,164372,132,2,8,54,68,1887,306,1491,90,1
FLORIDA,POMPANO BEACH,2014,105523,399,2,28,129,240,2243,488,1610,145,6
FLORIDA,PORT ST. LUCIE,2014,172453,130,4,8,20,98,1204,261,905,38,5
FLORIDA,WEST PALM BEACH,2014,103028,447,9,20,152,266,2376,420,1795,161,7
FLORIDA,TALLAHASSEE,2014,187573,840,5,89,150,596,4264,1054,2919,291,4
FLORIDA,TAMPA,2014,357124,962,12,26,224,700,4056,823,3040,193,20
FLORIDA,ORLANDO,2014,259675,1136,12,80,279,765,8311,1801,6044,466,25
FLORIDA,ST. PETERSBURG,2014,250772,1088,9,83,305,691,6830,1358,4832,640,23
FLORIDA,MIRAMAR,2014,132352,214,4,19,58,133,1341,390,861,90,4
FLORIDA,CAPE CORAL,2014,168712,116,2,5,18,91,1630,320,1226,84,1
FLORIDA,MIAMI,2014,421996,2080,43,35,768,1234,10028,1768,7083,1177,36
FLORIDA,LAKELAND,2014,101428,285,4,44,84,153,2598,474,1993,131,0
FLORIDA,JACKSONVILLE,2014,856021,2897,51,236,701,1909,16301,3363,11952,986,46
FLORIDA,HOLLYWOOD,2014,147918,408,6,37,125,240,3142,698,2236,208,2
FLORIDA,HIALEAH,2014,235446,367,3,21,129,214,3186,348,2481,357,6
FLORIDA,GAINESVILLE,2014,128185,435,2,60,70,303,2203,312,1750,141,11
FLORIDA,FORT LAUDERDALE,2014,174056,656,9,39,289,319,4612,972,3311,329,17
FLORIDA,CORAL SPRINGS,2014,127939,95,0,10,23,62,1292,188,1046,58,2
FLORIDA,CLEARWATER,2014,110075,305,3,26,86,190,2169,389,1668,112,5
FLORIDA,MIAMI GARDENS,2014,112373,369,8,9,104,248,2227,540,1455,232,8
IDAHO,BOISE,2014,216260,332,2,65,32,233,2078,349,1646,83,19
ILLINOIS,SPRINGFIELD,2014,117134,551,2,42,111,396,2523,479,2005,39,25
ILLINOIS,ROCKFORD,2014,149586,927,10,69,178,670,2947,759,2019,169,34
ILLINOIS,PEORIA,2014,116923,370,4,32,112,222,2244,558,1596,90,25
ILLINOIS,NAPERVILLE,2014,145510,52,1,5,8,38,717,72,626,19,1
ILLINOIS,ELGIN,2014,110595,112,1,22,31,58,899,144,727,28,7
ILLINOIS,CHICAGO,2014,2724121,10888,175,654,4400,5659,39749,6649,28326,4774,223
ILLINOIS,AURORA,2014,200419,284,4,18,53,209,1315,196,1074,45,8
ILLINOIS,JOLIET,2014,147838,219,1,5,45,168,1346,271,1016,59,22
INDIANA,FORT WAYNE,2014,257172,376,4,44,156,172,3883,781,2950,152,22
INDIANA,SOUTH BEND,2014,100853,302,7,49,128,118,2039,502,1410,127,12
IOWA,CEDAR RAPIDS,2014,128901,179,8,19,54,98,2236,386,1727,123,6
IOWA,DES MOINES,2014,208250,584,3,51,124,406,3879,821,2658,400,12
KANSAS,WICHITA,2014,387493,1497,13,129,258,1097,9482,1639,6756,1087,45
KANSAS,KANSAS CITY,2014,149103,494,13,113,108,260,3386,793,2134,459,21
KANSAS,OVERLAND PARK,2014,183108,137,5,44,12,76,1508,173,1070,265,6
KANSAS,TOPEKA,2014,127673,303,4,27,86,186,2872,441,2168,263,4
KENTUCKY,LOUISVILLE METRO9,2014,678513,1904,27,96,669,1112,13054,2857,9212,985,82
KENTUCKY,LEXINGTON,2014,311848,514,11,73,258,172,5757,1181,4123,453,24
LOUISIANA,BATON ROUGE,2014,229387,1078,27,34,426,591,5045,1380,3406,259,78
LOUISIANA,LAFAYETTE,2014,125122,390,1,4,113,272,3526,613,2676,237,35
LOUISIANA,SHREVEPORT,2014,200184,716,9,65,189,453,4398,946,3201,251,27
MASSACHUSETTS,CAMBRIDGE,2014,108201,146,1,11,36,98,1090,125,907,58,0
MASSACHUSETTS,LOWELL,2014,109729,262,1,17,74,170,1267,314,797,156,12
MASSACHUSETTS,SPRINGFIELD,2014,153766,777,6,51,261,459,2688,779,1616,293,26
MASSACHUSETTS,WORCESTER,2014,183248,814,4,7,175,628,2570,660,1740,170,1
MICHIGAN,ANN ARBOR,2014,117768,94,0,29,9,56,1010,156,792,62,4
MICHIGAN,DETROIT,2014,684694,6292,135,284,1589,4284,15748,4390,6629,4729,235
MICHIGAN,GRAND RAPIDS,2014,193385,623,3,31,198,391,2388,584,1683,121,25
MICHIGAN,LANSING,2014,113901,537,5,38,109,385,1550,436,956,158,11
