State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor Vehicle Theft,Arson
ALABAMA,BIRMINGHAM,2011,213258,3163,54,182,1011,1916,17841,5806,10522,1513,123
ALABAMA,HUNTSVILLE,2011,180972,1521,13,51,408,1049,9753,2680,6306,767,38
ALABAMA,MONTGOMERY,2011,206754,707,31,38,354,284,10743,2884,7043,816,52
ALASKA,ANCHORAGE,2011,296955,2388,12,283,465,1628,9455,1080,7750,625,126
ARIZONA,TEMPE     ,2011,164008,787,5,45,237,500,8933,1579,6804,550,28
ARIZONA,SURPRISE,2011,119181,131,0,12,51,68,2598,617,1873,108,22
ARIZONA,PHOENIX ,2011,1466097,8089,116,559,3324,4090,64479,18666,38258,7555,273
ARIZONA,PEORIA,2011,156246,301,2,35,56,208,4774,1088,3360,326,6
ARIZONA,SCOTTSDALE,2011,220462,400,4,34,125,237,6724,1424,5054,246,25
ARIZONA,GLENDALE,2011,229931,1114,22,44,431,617,14738,2442,10838,1458,65
ARIZONA,GILBERT,2011,211404,176,2,19,56,99,3820,816,2872,132,25
ARIZONA,CHANDLER    ,2011,239466,681,2,62,171,446,7416,1344,5741,331,35
ARIZONA,MESA ,2011,445256,1838,18,131,497,1192,15117,2769,11407,941,74
ARKANSAS,LITTLE ROCK,2011,194988,2905,37,161,858,1849,15504,4655,9756,1093,99
CALIFORNIA,RICHMOND,2011,104920,1035,26,39,303,667,4546,1651,1533,1362,32
CALIFORNIA,SAN BERNARDINO ,2011,212392,1861,30,77,720,1034,8461,2359,4446,1656,60
CALIFORNIA,SALINAS,2011,152210,1115,15,34,374,692,4492,1140,2189,1163,22
CALIFORNIA,SACRAMENTO,2011,471972,3354,36,134,1162,2022,18563,4141,11087,3335,146
CALIFORNIA,ROSEVILLE,2011,120184,248,1,24,43,180,3541,534,2786,221,11
CALIFORNIA,RIVERSIDE,2011,307443,1310,13,57,458,782,9631,2080,6278,1273,49
CALIFORNIA,RIALTO,2011,100337,480,6,18,204,252,2978,934,1524,520,21
CALIFORNIA,ONTARIO,2011,165851,493,6,27,209,251,4858,939,3057,862,22
CALIFORNIA,POMONA,2011,150810,927,11,54,339,523,4444,890,2578,976,17
CALIFORNIA,PASADENA,2011,138734,435,7,26,178,224,3672,1011,2382,279,25
CALIFORNIA,PALMDALE,2011,154546,785,9,38,246,492,3273,959,1906,408,29
CALIFORNIA,OXNARD ,2011,200225,619,8,26,274,311,3499,577,2563,359,26
CALIFORNIA,ORANGE,2011,138020,157,3,6,82,66,2652,445,2001,206,9
CALIFORNIA,SAN DIEGO,2011,1316919,5104,38,293,1456,3317,29709,5840,17610,6259,153
CALIFORNIA,RANCHO CUCAMONGA ,2011,167212,293,6,13,103,171,3915,1173,2381,361,11
CALIFORNIA,SAN FRANCISCO,2011,814701,5374,50,131,3088,2105,32886,4408,24304,4174,161
CALIFORNIA,STOCKTON,2011,295136,4155,58,90,1323,2684,15463,4133,9651,1679,86
CALIFORNIA,SANTA CLARA,2011,117837,177,2,14,67,94,2933,409,2202,322,20
CALIFORNIA,WEST COVINA,2011,107345,280,1,20,124,135,3249,526,2212,511,1
CALIFORNIA,VISALIA,2011,125905,483,5,40,95,343,5121,1110,3466,545,8
CALIFORNIA,VICTORVILLE,2011,117266,686,6,37,261,382,3931,1359,2086,486,26
CALIFORNIA,VENTURA,2011,107684,326,1,20,135,170,3320,657,2468,195,5
CALIFORNIA,VALLEJO,2011,117305,903,18,53,435,397,5244,2468,1716,1060,46
CALIFORNIA,TORRANCE,2011,147148,185,2,17,91,75,2767,509,1957,301,11
CALIFORNIA,SANTA ANA,2011,328343,1313,13,62,591,647,6575,1067,4222,1286,101
CALIFORNIA,THOUSAND OAKS,2011,128172,137,1,10,34,92,1788,319,1409,60,12
CALIFORNIA,SUNNYVALE,2011,141728,150,3,21,68,58,1970,393,1351,226,14
CALIFORNIA,OCEANSIDE,2011,169050,620,7,58,181,374,3849,792,2704,353,22
CALIFORNIA,SIMI VALLEY,2011,125698,116,0,9,41,66,1697,314,1278,105,14
CALIFORNIA,SANTA ROSA,2011,169788,682,5,58,134,485,3706,637,2794,275,16
CALIFORNIA,SANTA MARIA,2011,100723,716,7,18,153,538,2429,655,1510,264,9
CALIFORNIA,SANTA CLARITA,2011,178393,262,5,18,76,163,2568,567,1766,235,19
CALIFORNIA,TEMECULA,2011,101274,95,0,7,54,34,2406,547,1700,159,0
CALIFORNIA,OAKLAND,2011,395317,6652,104,202,3365,2981,20904,5170,9429,6305,138
CALIFORNIA,SAN JOSE   ,2011,957062,3206,39,226,1101,1840,21972,4223,12628,5121,165
CALIFORNIA,MURRIETA,2011,104682,105,2,13,34,56,1495,348,1031,116,10
CALIFORNIA,EL CAJON,2011,100647,529,2,28,187,312,2468,603,1443,422,14
CALIFORNIA,DOWNEY,2011,113086,390,2,23,204,161,3876,769,2054,1053,4
CALIFORNIA,DALY CITY,2011,102312,184,1,14,59,110,1880,322,1308,250,15
CALIFORNIA,COSTA MESA ,2011,111253,231,4,30,83,114,3534,524,2743,267,14
